Id,SalePrice
1461,128055.63844321751
1462,164732.71089545326
1463,190961.18564679153
1464,203286.8020271571
1465,181972.9828189758
1466,182797.64592012457
1467,175472.21142997214
1468,168639.78011966049
1469,196663.89007603232
1470,124312.99085520735
1471,190564.129775183
1472,96959.95797250679
1473,99848.11413090947
1474,157245.96353158215
1475,121573.44863672409
1476,361671.1454863595
1477,233745.87601355734
1478,258287.6148562429
1479,207809.19043903518
1480,490401.6378601118
1481,305769.4297555539
1482,196673.71356278297
1483,156098.3034394899
1484,155452.80792027342
1485,179430.15009998216
1486,202864.62799798936
1487,329404.65097155405
1488,220878.54340181488
1489,193569.68535280178
1490,226064.80718364916
1491,190760.92156806006
1492,94839.145708845
1493,187527.996088306
1494,291933.29497900774
1495,289622.55220385373
1496,244325.0742748636
1497,176616.07023655472
1498,158333.1292051078
1499,165509.92011776034
1500,155384.37494468305
1501,175856.36241839608
1502,145951.9219063059
1503,319089.5487114477
1504,257844.2928335812
1505,232830.90313370115
1506,180903.69567097275
1507,256383.06769329944
1508,204048.0232453257
1509,162082.9811049404
1510,152437.1130168542
1511,149485.13630306855
1512,174532.78036784782
1513,148767.04789203868
1514,146847.80298141122
1515,199489.15925937874
1516,144796.5635877763
1517,174717.05511422173
1518,128530.63760704949
1519,227568.79678464934
1520,136653.65732511363
1521,137645.05215014276
1522,184000.45133027423
1523,116252.58197838823
1524,122169.81612620196
1525,127492.03553268994
1526,114126.14624212346
1527,108940.52625059242
1528,133376.17335462442
1529,154191.23954228524
1530,174433.9812106014
1531,105684.296096377
1532,88914.62262760199
1533,139796.57168037264
1534,121311.24365225359
1535,150602.9094230244
1536,109573.006249782
1537,70696.34158072855
1538,146829.03669226775
1539,201417.05886054446
1540,81813.02705527867
1541,150493.19377914217
1542,142524.06086656958
1543,199270.9076986869
1544,75717.20119533317
1545,113960.9926700499
1546,135771.1484946613
1547,135181.98169566915
1548,145591.1031915012
1549,113868.0740011942
1550,133510.23646788206
1551,113927.80664851253
1552,137235.78894732488
1553,140188.51329385335
1554,119066.43586518071
1555,168662.00459546127
1556,83620.00777622068
1557,102348.27253503585
1558,91295.2187162078
1559,64090.03745379401
1560,119696.21075659299
1561,114568.52531062461
1562,133981.6383015885
1563,125314.41911008624
1564,156792.87084392176
1565,158889.27298917784
1566,237855.67096965972
1567,78598.079785893
1568,233195.49003295696
1569,128014.03283042235
1570,151101.61813024018
1571,121785.97612112723
1572,144850.1708559401
