Id,SalePrice
1461,130986.61
1462,162509.45
1463,187725.69
1464,187716.62
1465,191982.73
1466,176528.08
1467,169991.89
1468,176064.98
1469,174442.2
1470,115285.86
1471,199555.42
1472,94353.56
1473,98574.08
1474,150707.23
1475,123405.95
1476,386218.94
1477,259233.72
1478,300626.25
1479,276202.9
1480,481287.78
1481,309509.44
1482,203407.75
1483,176422.95
1484,169646.16
1485,164741.61
1486,201064.94
1487,353160.2
1488,225221.44
1489,209468.94
1490,203799.64
1491,186865.92
1492,91388.41
1493,177698.45
1494,272352.9
1495,278673.16
1496,215713.03
1497,186295.6
1498,163361.6
1499,159957.53
1500,157297.66
1501,168163.83
1502,147344.16
1503,333547.84
1504,245829.31
1505,220355.05
1506,178595.75
1507,251203.4
1508,199450.08
1509,165646.23
1510,151101.27
1511,143897.67
1512,161662.12
1513,144783.5
1514,155740.61
1515,199113.75
1516,159873.3
1517,157555.6
1518,124501.695
1519,227368.69
1520,135785.31
1521,146690.95
1522,174460.83
1523,109719.47
1524,127935.14
1525,131985.39
1526,111433.57
1527,116771.445
1528,137611.34
1529,147114.31
1530,184998.44
1531,109437.41
1532,98908.586
1533,146754.9
1534,119180.52
1535,159197.62
1536,112260.625
1537,70743.17
1538,185563.73
1539,150464.52
1540,102508.42
1541,150760.08
1542,149619.98
1543,228493.0
1544,69388.25
1545,115364.65
1546,119735.01
1547,132389.33
1548,135639.4
1549,117303.17
1550,138979.98
1551,115917.96
1552,131672.05
1553,144978.05
1554,113514.48
1555,178988.75
1556,82044.65
1557,99350.086
1558,90135.35
1559,105558.57
1560,134536.14
1561,135149.58
1562,128405.26
1563,119763.12
1564,170622.42
1565,134858.7
1566,253796.73
1567,81919.58
1568,241813.92
1569,165176.67
1570,143753.1
1571,126549.58
1572,159920.14
1573,231617.69
1574,92907.914
1575,218090.53
1576,221982.47
1577,191987.92
1578,135223.95
1579,137441.89
1580,201143.14
1581,144168.94
1582,125908.125
1583,306691.16
1584,235682.9
1585,138915.61
1586,69525.51
1587,110462.055
1588,153250.25
1589,117412.32
1590,132887.89
1591,96763.49
1592,101431.34
1593,131313.12
1594,99764.26
1595,99511.18
1596,236568.53
1597,183110.0
1598,198344.8
1599,184488.42
1600,184738.84
1601,69527.79
1602,126265.586
1603,113380.836
1604,276080.66
1605,250002.36
1606,173451.75
1607,164427.03
1608,201192.11
1609,198216.28
1610,168412.73
1611,143827.62
1612,173561.67
1613,163901.56
1614,122940.32
1615,82957.76
1616,77170.06
1617,90057.95
